patch_name,y,x
IMG_2151_p7.png,1536,2560
IMG_2151_p8.png,1536,3072
IMG_2151_p9.png,2048,2048
IMG_2151_p10.png,2048,2560
IMG_2293_p0.png,512,512
IMG_2293_p1.png,1536,1536
IMG_2293_p2.png,2048,0
IMG_2293_p3.png,2048,512
IMG_2293_p4.png,2048,1024
IMG_2293_p5.png,2048,1536
IMG_2258_p0.png,512,1536
IMG_2258_p1.png,512,2048
IMG_2258_p2.png,512,2560
IMG_2258_p3.png,1024,1536
IMG_2258_p4.png,1024,2048
IMG_2258_p5.png,1024,2560
IMG_2258_p6.png,1536,1536
IMG_2258_p7.png,1536,2048
IMG_2258_p8.png,1536,2560
IMG_2258_p9.png,2048,2048
IMG_2258_p10.png,2048,2560
IMG_2288_p0.png,0,3072
IMG_2288_p1.png,512,3072
IMG_2288_p2.png,1024,3072
IMG_2288_p3.png,1536,1024
IMG_2288_p4.png,1536,1536
IMG_2288_p5.png,1536,2048
IMG_2288_p6.png,1536,2560
IMG_2288_p7.png,2048,512
IMG_2288_p8.png,2048,1024
IMG_2288_p9.png,2048,1536
IMG_2288_p10.png,2048,2560
IMG_2288_p11.png,2048,3072
IMG_2116_p0.png,0,3072
IMG_2116_p1.png,512,2560
IMG_2116_p2.png,512,3072
IMG_2116_p3.png,1024,1536
IMG_2116_p4.png,1024,2560
IMG_2116_p5.png,1536,1536
IMG_2116_p6.png,1536,2048
IMG_2116_p7.png,2048,1536
IMG_2116_p8.png,2048,2048
IMG_2277_p0.png,0,2560
IMG_2277_p1.png,512,2048
IMG_2277_p2.png,512,2560
IMG_2277_p3.png,1024,1536
IMG_2277_p4.png,1024,2048
IMG_2277_p5.png,1024,2560
IMG_2277_p6.png,1536,512
IMG_2277_p7.png,1536,2048
IMG_2277_p8.png,1536,2560
IMG_2277_p9.png,1536,3072
IMG_2277_p10.png,2048,0
IMG_2277_p11.png,2048,512
IMG_2277_p12.png,2048,2048
IMG_2277_p13.png,2048,2560
IMG_2277_p14.png,2048,3072
IMG_2148_p0.png,1024,512
IMG_2148_p1.png,1024,1024
IMG_2148_p2.png,1536,0
IMG_2148_p3.png,1536,512
IMG_2148_p4.png,1536,1024
IMG_2148_p5.png,1536,1536
IMG_2148_p6.png,2048,0
IMG_2148_p7.png,2048,512
IMG_2148_p8.png,2048,1024
IMG_2211_p0.png,1024,0
IMG_2211_p1.png,1536,0
IMG_2211_p2.png,1536,512
IMG_2211_p3.png,1536,1024
IMG_2211_p4.png,1536,1536
IMG_2211_p5.png,1536,2048
IMG_2211_p6.png,2048,0
IMG_2211_p7.png,2048,1024
IMG_2211_p8.png,2048,1536
IMG_2211_p9.png,2048,2048
IMG_2203_p0.png,0,512
IMG_2203_p1.png,0,1024
IMG_2203_p2.png,0,1536
IMG_2203_p3.png,0,2048
IMG_2203_p4.png,512,0
IMG_2203_p5.png,512,1536
IMG_2203_p6.png,512,2560
IMG_2203_p7.png,1024,1536
IMG_2203_p8.png,1024,2560
IMG_2203_p9.png,1024,3072
IMG_2203_p10.png,1536,2560
IMG_2203_p11.png,1536,3072
