day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_9_2025_01_16,greenhouse,138,530,4174,1243,0.0891,0.7019,0.209
day_9_2025_01_16,greenhouse,137,1141,2889,198,0.2699,0.6833,0.0468
day_9_2025_01_16,greenhouse,136,379,2931,399,0.1022,0.7902,0.1076
day_9_2025_01_16,lab,150,531,1998,1743,0.1243,0.4677,0.408
day_9_2025_01_16,lab,149,1069,2728,284,0.2619,0.6685,0.0696
day_9_2025_01_16,lab,148,481,1506,562,0.1887,0.5908,0.2205
day_9_2025_01_16,lab,147,1334,2313,217,0.3452,0.5986,0.0562
day_9_2025_01_16,lab,146,650,2387,406,0.1888,0.6933,0.1179
day_9_2025_01_16,lab,145,444,1603,758,0.1583,0.5715,0.2702
day_9_2025_01_16,lab,144,305,1419,199,0.1586,0.7379,0.1035
day_9_2025_01_16,lab,143,212,908,199,0.1607,0.6884,0.1509
day_9_2025_01_16,lab,142,1060,1912,255,0.3285,0.5925,0.079
day_9_2025_01_16,lab,141,326,1369,190,0.1729,0.7263,0.1008
day_9_2025_01_16,lab,140,346,1234,584,0.1599,0.5702,0.2699
day_9_2025_01_16,lab,139,852,1602,168,0.3249,0.611,0.0641
day_9_2025_01_16,lab,138,565,1809,704,0.1836,0.5877,0.2287
day_9_2025_01_16,lab,137,934,1718,165,0.3316,0.6099,0.0586
day_9_2025_01_16,lab,136,485,1825,195,0.1936,0.7285,0.0778
